Instance ID,Skeletal code,Co-authors associated with analyzing this sample,Skeletal element,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)","Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]","Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990�40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Confidence of archaeological and chronological contextualization for the genetic data for this individual,"Group ID (the suffix ""_lc"" indicates fewer than 15000 SNPs covered on the 1240k target set)",Included in population genetic analysis (also indicated if included in Figure 3),Locality,Excavation reference if available,Country or Region,Latitude,Longitude,Data type,Number of Libraries,Average coverage on autosomal targets,SNPs hit on autosomal targets,Genetic Sex,Family ID and position within family,Sum total of ROH segments >4cM from hapROH,Sum total of ROH segments >20cM from hapROH,Y chromosome haplogroup (called only for males with 1240K data and only if >50000 autosomal SNPs hit), mtDNA coverage ,mtDNA haplogroup only called if >2x coverage,mtDNA match to consensus if >2x coverage,Damage rate in first nucleotide on sequences overlapping 1240k targets for samples processed at Harvard; C->T_CpG_5 for samples processed in China,Xcontam ANGSD SNPs (only if male),Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and  SNPs > 200),ContamLD contamination 95% CI (Ccorrecting bias with damage-restricted sequences and only reported for samples covered by at least 100000 autosomal SNPs),Library type,LibraryID(s), Percent human sequences by library (computed on shotgun data) ,Qualitative assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13957,"AT_629, 990","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg; Erdenebaatar, Diimaajav; Kovalev, Alexey",petrous,"Direct: IntCal20; use instead of less precise but consistent non-AMS-date of 3011-2473 calBCE (4180�100 BP, Le-7219)",4625,92,"2857-2501 calBCE (4095�25 BP, PSUAMS-6942)","Confident - The genetic data and direct 14C date are from the same exported left petrous bone, and the photo of the skull in our records matches the photo of the skeleton in the archaeological literature of an individual estimated to be 5-6 years old. The newly generated 14C date generated at the PSUAMS lab on the same sample used for DNA is also consistent with the previously reported 14C date of 3011-2473 calBCE (4180�100 BP, Le-7219) supposed to come from this individual at the Le lab (Institute of the History of Material Culture, Russian Academy of Sciences), further increasing confidence in the chronology.",Mongolia_Chalcolithic_Afanasievo_2,Yes and plotted in Figure 3,"Bayan-Ulgi aimag, Ulaankhus sum, Kurgak govi ?????? ???? barrow 1, infant burial in main grave ","Excavations: Kovalev A., Erdenebaatar D. 2004 Publications: Kovalev A., Erdenebaatar D., 2009 P. 151-152; ??????? ?., ???????????? ?., 2014a. P. 186-204",Mongolia,49.336,88.712,1240K capture,1,3.053235,784274,M,n/a (no relatives detected),15,0,C2a1a1-Z18161, 505 ,G2a+152,"[0.990,0.999]",0.058,5239,"[0.000,0.003]","[0,0.001]",ds.UDG.half,S13957.Y1.E2.L1, 0.6497 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6361,"AT_635, Kurgan 2, MONU_635, Kurgan 2","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg; Erdenebaatar, Diimaajav; Kovalev, Alexey",petrous (CBD),"Direct: IntCal20; use instead of less precise and inconsistent non-AMS date of 2469-2041 calBCE (3825�70 BP, Le-7215)",4483,39,"2619-2474 calBCE (4034�16 BP, GrM-12938)","Confident - The genetic data for all three individuals assigned to an Ulgii EBA culture archaeological match up; the previously obtained non-AMS dates for the three Ulgii culture individuals obtained at the Le- laboratory (Institute of the History of Material Culture, Russian Academy of Sciences) are fully consistent with each other: I6361 at 2469-2041 calBCE (3825�70 BP, Le-7215), I13180 at 2571-2150 calBCE (3900�70 BP, Le-7212), and I12977 at 2468-1779 calBCE (3725�115 BP, Le-7220);  and the three more precise AMS dates on these same three individuals are several hundred years earlier than the Le- ones but all relatively consistent: I6361 at 2619-2474 calBCE (4034�16 BP, GrM-12938), I13180 at 3012-2875 calBCE (4290�35 BP, PSUAMS-6944), and I12977 at 2913-2710 calBCE (4250�25 BP, UCIAMS-226551, PSUG-5466). We suspect that the non-AMS dates may have been affected by contamination that was removed by pre-treatment in the procedure used to produce the AMS dates, and use the AMS date, but in any case take these findings as evidence of a confident Ulgii association for the genetic data.",Mongolia_EBA_Ulgii_1B,Yes and plotted in Figure 3,"Bayan-Ulgii aimag, Ulaankhus sum, Kurgak govi ?????? ???? barrow 2 secondary burial","Excavations: Kovalev A., Erdenebaatar D. 2004 Publications: Kovalev A., Erdenebaatar D., 2009 P. 151-152; ??????? ?., ???????????? ?., 2014a. P. 186-204",Mongolia,49.336,88.712,1240K capture,1,4.003908,881661,F,n/a (no relatives detected),9,0,n/a (female), 452 ,A+152+16362,"[0.994,0.999]",0.07,n/a (female),n/a (female),"[0,0.006]",ds.UDG.half,S6361.E1.L1, 0.7428 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I12978,"AT_590B, 707","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg; Erdenebaatar, Diimaajav; Kovalev, Alexey",petrous,Direct: IntCal20; R_combine,4472,31,"2571-2471 calBCE (4004�15 BP) [R_combine: (3983�17 BP, GrM-12984); (4050�25 BP, UCIAMS-226530, PSUG-5433); (3838�40 BP, Le-6932, Le-6933, Le-6939)]",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Chemurchek EBA culture) match up; and the genetic patterns cluster this individual with another from a Chemuchek EBA archaeological directly dated to a consistent period. ,Mongolia_EBA_Chemurchek_2B,Yes and plotted in Figure 3,"Khovd, Bulgan sum, Yagshiin hodoo ?????? ????? barrow 1, bone find B","Excavations: Kovalev A., Erdenebaatar D. 2003 Publications: Kovalev A., Erdenebaatar D., 2009 P. 155-160, Kovalev A., 2011. P. 7-9; ??????? ?., ???????????? ?., 2014b",Mongolia,46.12,91.57,1240K capture,1,2.471405,796172,M,n/a (no relatives detected),36,0,R1b1a1b-M269, 479 ,C4+152,"[0.990,0.998]",0.117,4426,"[0.004,0.010]","[0,0.003]",ds.UDG.half,S12978.Y1.E1.L1, 0.4824 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I12957,"AT_590A, 682","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg; Erdenebaatar, Diimaajav; Kovalev, Alexey",petrous,Direct: IntCal20,4462,40,"2574-2459 calBCE (3980�25 BP, UCIAMS-226526, PSUG-5429)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Chemurchek EBA culture) match up; and the genetic patterns cluster this individual with another from a Chemuchek EBA archaeological directly dated to a consistent period. ,Mongolia_EBA_Chemurchek_2A,Yes and plotted in Figure 3,"Khovd, Bulgan sum, Yagshiin hodoo ?????? ?????, Barrow 3","Excavations: Kovalev A., Erdenebaatar D. 2003 Publications: Kovalev A., Erdenebaatar D., 2009 P. 155-160, Kovalev A., 2011. P. 7-9; ??????? ?., ???????????? ?., 2014b",Mongolia,46.12,91.57,1240K capture,1,3.836698,841251,M,n/a (no relatives detected),18,0,R1b1a1b-PF6419, 534 ,T1a1,"[0.891,0.944]",0.103,6006,"[0.003,0.007]","[0,0.012]",ds.UDG.half,S12957.Y1.E1.L1, 0.6084 ,"PASS (the upper bound of the match rate to the mtDNA consensus is <0.98 [0.891,0.944] but we deem the sample to be of high quality because the X chromosome estimate is <0.02 [0.003,0.007] and the contamLD estimate after damage correction is <0.02 [0,0.012] and because of the variable mitochondrial-to-nuclear ratio a sample can have appreciable mtDNA contamination with very low nuclear contamination as is the case here)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13173,"AT_614, 880","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg; Erdenebaatar, Diimaajav; Kovalev, Alexey",petrous,Direct: IntCal20; R_combine,3722,58,"1876-1690 calBCE (3449�17 BP) [R_combine: (3460�20 BP, UCIAMS-226552, PSUG-5467); (3421�32 BP, OxA-X-2737-53); (3150�70 BP, Le-6936)]","Confident - We have three AMS dates that matches up to the Munkhairkhan MBA cultural context, one of which (UCIAMS-226552/PSUG5467) is from the same petrous bone used to produce the genetic data. ",Mongolia_MBA_Munkhkhairkhan_2,Yes and plotted in Figure 3,"Khovd, Munkhkhairkhan sum, Ulan goviin uzuur ????? ?????? ????? barrow 2","Excavations: Kovalev A., Erdenebaatar D. 2003 Publications: ??????? ?., ???????????? ?., 2014 P. 205-210; Kovalev A., Erdenebaatar D., 2009. P. 160-163",Mongolia,47.069,91.83,1240K capture,1,4.175051,857091,M,n/a (no relatives detected),0,0,N-M231, 472 ,H15b1,"[0.980,0.998]",0.122,6558,"[0.003,0.006]","[0,0.001]",ds.UDG.half,S13173.Y1.E1.L1, 0.5260 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6348,ULUN_1-123 [Pinhasi]; N4; Kharuulyn Gozgor; kurgan No.1-113 [Tishkin],"Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg ; Mijiddorj, Enkhbayar; Iderkhangai, Tumur-Ochir",petrous (CBD); tooth,Direct: IntCal20,3632,43,"1749-1617 calBCE (3395�25 BP, PSUAMS-7274)","Confident - The genetic data are from cranial base drilling in 2016 and the 14C date is from a post-cranial element from a different box sampled in 2019. However, the direct 14C date and archaeological context (MBA Munkhairkhan) match up, and the genetic patterns for this individual are consistent with another individual I12955 from the same archaeological context, so we view this date as reliable.",Mongolia_MBA_Munkhkhairkhan_1,Yes and plotted in Figure 3,"Bulgan, Khutag-Undur sum, Haruulyn Gozgor ???????? ?????? tomb 1-113","Excavations: Iderkhangai T., Erdenebaatar D. 2015 Publication: ???????????? 2016",Mongolia,49.3925,102.7025,1240K capture,2,5.471873,985083,M,n/a (no relatives detected),57,0,Q1b1a3-L334, 716 ,HV12b1,"[0.98,0.997]",0.0735,9078,"[0.001,0.004]","[0,0.01]","ds.UDG.half,ds.UDG.half","S6348.E1.L1,S13700.E1.L1"," 0.80790,0.09450 ",PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I12958,"AT_641, 683, the archaeologist thinks the skeletal code may be incorrect or mixed up","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg; Erdenebaatar, Diimaajav; Kovalev, Alexey",petrous,"Direct: IntCal20; use instead of less precise and inconsistent non-AMS-date of 1191-517 calBCE (2685�110 BP, Le-7213)",3483,41,"1615-1452 calBCE (3265�30 BP, UCIAMS-226527, PSUG-5430)","Minor warning - The genetic data are from the same exported petrous bone that we used for the PSUAMS direct 14C (1615-1452 calBCE (3265�30 BP, UCIAMS-226527, PSUG-5430)), and so we likely have a good chronology for the genetic data. However, a previously reported radiocarbon date that was supposed to be from this individual is inconsisent (1191-517 calBCE (2685�110 BP, Le-7213)) with the new radiocarbon date, and there is substantial contextual uncertainty for this individual. Genetic data for I12958 were generated using fragmented cranial remains from an adult individual curated at the National University of Mongolia as AT-641, which according to the records for the box is an individual excavated from kurgan 2 at Khukh uzuur (??? ?????), Bulgan sum, Khovd province. However, the archaeologist who excavated kurgan 2 at Khukh uzuur identified no skull as part of this burial and recorded the individual interred in this kurgan to be a juvenile; furthermore, the direct 14C date obtained from individual is inconsistent with the construction style of kurgan 2. It is  more likely that these cranial remains belong to a Middle Bronze Age individual from the Munkhkhairkhan culture interred in kurgan 1 at Ulaan goviin uzuur (????? ?????? ?????), Munkhkhairkhan sum, Khovd province whose whereabouts in the collection had been lost, and this is the location we use. We therefore classified this individual as Mongolia_MBA_Munkhkhairkhan_3. Given that the archaeological context is somewhat uncertain, though,  we do not plot the data from this individual in Figure 3. ",Mongolia_MBA_Munkhkhairkhan_3,Yes,"Khovd, Munkhkhairkhan sum, Ulaan goviin uzuur, ????? ?????? ?????, kurgan 1","Excavations: Kovalev A., Erdenebaatar D. 2004 Publication: ??????? ?.?. et al. 2008",Mongolia,47.069,91.83,1240K capture,1,0.944102,563329,F,n/a (no relatives detected),14,0,n/a (female), 194 ,G2a1,"[0.987,0.997]",0.179,n/a (female),n/a (female),"[0,0.021]",ds.UDG.half,S12958.Y1.E1.L1, 0.0931 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13174,"AT_638, 881","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg; Erdenebaatar, Diimaajav; Kovalev, Alexey",petrous,"Direct: IntCal20; use instead of less precise but consistent non-AMS date of 1493-1060 calBCE (3050�70 BP, Le-6638)",3410,23,"1501-1421 calBCE (3185�20 BP, UCIAMS-226564, PSUG-5483)","Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (LBA Mongun Taiga) match up. The newly generated 14C date generated at the PSUAMS lab on the same sample used for DNA is also consistent with the previously reported 14C date lf 1493-1060 calBCE (3050�70 BP, Le-6638) supposed to come from this individual at the Le lab (Institute of the History of Material Culture, Russian Academy of Sciences), further increasing confidence in the chronology.",Mongolia_LBA_MongunTaiga_1,Yes and plotted in Figure 3,"Khovd, Munkhkhairkhan sum, Khukh tolgoi ??? ?????? barrow 9 ","Excavations: Kovalev A.A., Erdenebaatar D. 2002 Publication: ??????? ?., ???????????? ?., 2010. P. 106",Mongolia,47.069,91.83,1240K capture,1,0.758033,524476,M,n/a (no relatives detected),18,0,Q1b1a3-L334, 122 ,U5a2,"[0.989,0.999]",0.154,958,"[0.000,0.007]","[0,0]",ds.UDG.half,S13174.Y1.E1.L1, 0.0204 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13964,"AT_961, 997","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,"Context: Date(s) from same site (I12972, I14037)",3350,87,1550-1250 BCE,"Confident - The genetic patterns are very similar to 2 others individual from an Ulaanzukh LBA archaeological context directly dated to a consistent period, so we treat this date assignment as reliable.",Mongolia_LBA_Ulaanzukh_2,Yes and plotted in Figure 3,"S�khbaatar aimag, Tuvshinshiree sum, Ulaanzukh ?????????, Tomb 17","Excavations: Tumen D., Khatanbaatar D. 2015 Publication: ????? 2016",Mongolia,46.77,111.6,1240K capture,1,1.342785,662366,F,n/a (no relatives detected),30,0,n/a (female), 235 ,C4a1a+195,"[0.994,1.000]",0.113,n/a (female),n/a (female),"[0,0.01]",ds.UDG.half,S13964.Y1.E2.L1, 0.4626 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I12972,"AT_887, 701","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,Direct: IntCal20,3347,40,"1488-1308 calBCE (3130�20 BP, UCIAMS-226553, PSUG-5468)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Ulaanzukh LBA culture) match up; and the genetic patterns place this individual into a cluster of 4 from an Ulaanzukh LBA archaeological context 3 of whom are directly dated to a consistent period.,Mongolia_LBA_Ulaanzukh_2,Yes and plotted in Figure 3,"S�khbaatar aimag, Tuvshinshiree sum, Adgiin gol ?????? ??? Tomb 21","Excavations: Tumen D. 2011 Publication: ????? et al., 2012 P. 11-12",Mongolia,46.77,111.6,1240K capture,1,0.74561,540126,M,n/a (no relatives detected),5,0,Q1a1a-Y683.2, 164 ,D4i,"[0.989,1.000]",0.165,928,"[0.000,0.013]","[0,0.02]",ds.UDG.half,S12972.Y1.E1.L1, 0.0303 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13959,"AT_637, 992","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg; Erdenebaatar, Diimaajav; Kovalev, Alexey",petrous,"Direct: IntCal20; use instead of less precise but consistent non-AMS date of 2011-1308 calBCE (3340�130 BP, Le-6637)",3339,41,"1446-1305 calBCE (3125�20 BP, UCIAMS-226559, PSUG-5474)","Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (LBA Mongun Taiga) match up. The newly generated 14C date generated at the PSUAMS lab on the same sample used for DNA is also consistent with the previously reported 14C date of 2011-1308 calBCE (3340�130 BP, Le-6637) supposed to come from this individual at the Le lab (Institute of the History of Material Culture, Russian Academy of Sciences), further increasing confidence in the chronology.",Mongolia_LBA_MongunTaiga_1_lc,No (low coverage),"Khovd, Munkhkhairkhan sum, Ulaan tolgoi ????? ??????, barrow 3","Excavations: Kovalev A., Erdenebaatar D. 2002",Mongolia,47.069,91.83,1240K capture,1,0.008511,10030,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female), 1.7 ,n/a (<2x),n/a (<2x),0.271,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.UDG.half,S13959.Y1.E2.L1, 0.0012 ,PASS (low coverage at n=10030 SNPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I12960,"AT_248, 685","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,Direct: IntCal20,3332,41,"1441-1304 calBCE (3120�20 BP, UCIAMS-226528, PSUG-5431)","Minor warning - The genetic data and direct 14C date are from the same exported petrous bone. The archaeological context is  unclear and while the most likely guess based on archaeological context alone is the Slav Grave culture, the date is too early for that and make it more consistent with a Figure Grave or Ulaanzukh LBA cultural assignment. We choose the Ulaanzukh assignment because the individuals' genetic profile matches a genetic cluster of four Ulaanzukh culture individuals of whom 3 are directly dated.",Mongolia_EIA_SlabGrave_1A,Yes and plotted in Figure 3,"Uvurkhangai, Khujirt sum, Shunkhlai Uul ??????? ??? , Tomb 2",Excavations: Ser-Odzhav N. 1979 Publication: ?????? ?. 2016,Mongolia,46.92,102.76,1240K capture,1,1.777705,740991,M,n/a (no relatives detected),163,59,Q1a1a1-F1626, 205 ,C4a1a+195,"[0.984,0.996]",0.162,3207,"[0.000,0.003]","[0,0.015]",ds.UDG.half,S12960.Y1.E1.L1, 0.1991 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I12976,"AT_627, 705","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg; Erdenebaatar, Diimaajav; Kovalev, Alexey",petrous,"Direct: IntCal20; use instead of less precise but consistent non-AMS date of 1398-836 calBCE (2910�110 BP, Le-7226)",3332,41,"1441-1304 calBCE (3120�20 BP, UCIAMS-226550, PSUG-5465)","Confident - The genetic data and direct 14C date are from the same exported petrous bone, and the direct date and archaeological context (LBA Mongun Taiga) match up. The newly generated 14C date generated at the PSUAMS lab on the same sample used for DNA is also consistent with the previously reported 14C date of 1398-836 calBCE (2910�110 BP, Le-7226) supposed to come from this individual at the Le lab (Institute of the History of Material Culture, Russian Academy of Sciences), further increasing confidence in the chronology.",Mongolia_LBA_MongunTaiga_3B,Yes and plotted in Figure 3,"Bayan-Ulgii aimag, Ulaankhus sum, Kulala Ula ??? ??? barrow 2","Excavations: Kovalev A., Erdenebaatar D. 2004",Mongolia,49.359,88.713,1240K capture,1,4.789333,856905,M,n/a (no relatives detected),5,0,N1a-M2114, 459 ,U2e2a1a2,"[0.991,0.999]",0.08,6643,"[0.001,0.003]","[0,0.015]",ds.UDG.half,S12976.Y1.E1.L1, 0.6468 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I14037,"AT_923, 1000","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg, Tumen",petrous,Direct: IntCal20,3306,39,"1422-1292 calBCE (3095�20 BP, UCIAMS-226561, PSUG-5475)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Ulaanzukh LBA culture) match up; and the genetic patterns place this individual into a cluster of 4 from an Ulaanzukh LBA archaeological context 3 of whom are directly dated to a consistent period.,Mongolia_LBA_Ulaanzukh_2,Yes and plotted in Figure 3,"S�khbaatar aimag, Tuvshinshiree sum, Bulgiin ekh ??????? ??, Tomb 47","Excavations: Tumen D., Khatanbaatar D. 2012 Publication: Tumen et al. 2014",Mongolia,46.77,111.6,1240K capture,1,5.133505,839613,M,n/a (no relatives detected),13,0,Q1a1a1-F875, 411 ,M11b,"[0.986,0.999]",0.104,6535,"[0.002,0.006]","[0,0]",ds.UDG.half,S14037.Y1.E1.L1, 0.6100 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6347,"SKTB1, tolgoi-G-1, MONM_SKTB1, tolgoi-G-1","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg; Tumen; Tumurbaatar, Tuvshinjargal (Jerry); Bayarsaikhan, Jamsranjav ",petrous (CBD),Direct: IntCal20,3295,38,"1414-1280 calBCE (3080�20 BP, PSUAMS-3113)",Confident - The genetic data and direct 14C date are from the same cranium sampled in 2016; the direct date and archaeological context (LBA Center West) match up.,Mongolia_LBA_CenterWest_4A,Yes and plotted in Figure 3,"Uvs aimag, Z��nkhangai sum, Savaa Khar ????? ???",..,Mongolia,49.306389,95.448611,1240K capture,2,5.424584,835979,F,n/a (no relatives detected),6,0,n/a (female), .. ,K2a5,..,..,n/a (female),n/a (female),"[0,0]","ds.UDG.half,ds.UDG.half","S6347.E1.L1,S6347.E1.L2"," 0.76470,0.83000 ",PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6264,"NBP027, Burial 4, MONM_NBP027, Burial 4","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg; Tumen; Tumurbaatar, Tuvshinjargal (Jerry); Bayarsaikhan, Jamsranjav ",petrous (CBD),Direct: IntCal20,3275,43,"1401-1235 calBCE (3055�20 BP, PSUAMS-3112)",Confident - The genetic data and direct 14C date are from the same cranium sampled in 2016; the direct date and archaeological context (LBA Center West) match up.,Mongolia_LBA_CenterWest_4A,Yes and plotted in Figure 3,"Bayankhongor aimag, Khar Sairiin Am ??? ?????? ??, Khirigsuur",..,Mongolia,45.918477,100.83344,1240K capture,1,1.812,767125,F,n/a (no relatives detected),22,0,n/a (female), 278 ,A8a1,"[0.985,0.994]",0.087,n/a (female),n/a (female),"[0,0.012]",ds.UDG.half,S6264.E1.L1, 0.0825 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6262,"MON2, Grave #5, MONM_MON2, Grave #5","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Dashtseveg; Tumen; Tumurbaatar, Tuvshinjargal (Jerry); Bayarsaikhan, Jamsranjav ",petrous (CBD),Direct: IntCal20,3270,45,"1398-1228 calBCE (3050�20 BP, PSUAMS-3111)",Confident - The genetic data and direct 14C date are from the same cranium sampled in 2016; the direct date and archaeological context (LBA Center West) match up.,Mongolia_LBA_CenterWest_4A,Yes and plotted in Figure 3,"Bayankhongor aimag, Khar Sairiin Am ??? ?????? ?? , Khirigsuur",..,Mongolia,45.918477,100.83344,1240K capture,1,3.807,811034,F,n/a (no relatives detected),19,0,n/a (female), 682 ,A8a1,"[0.972,0.984]",0.099,n/a (female),n/a (female),"[0,0]",ds.UDG.half,S6262.E1.L1, 0.6996 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I12973,"1-055-3, 702","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg ; Mijiddorj, Enkhbayar; Iderkhangai, Tumur-Ochir",petrous,Direct: IntCal20,3226,56,"1388-1133 calBCE (3020�25 BP, UCIAMS-226529, PSUG-5432)","Minor warning - The genetic data and direct 14C date are from the same exported petrous bone. However, this individual is the only representative of their genetic cluster and the archaeological context is not fully clear, so we do not plot the data from the associated cluster in Figure 3.",Mongolia_BA_1,Yes,"Bulgan, Khutag undur sum, Damiran uul ??????? ??? tomb 3  ",Excavations: Iderkhangai T. 2015,Mongolia,49.41,102.69,1240K capture,1,4.262026,871669,M,n/a (no relatives detected),43,0,Q1b1a3-L334, 387 ,D4j,"[0.971,0.989]",0.121,6650,"[0.002,0.005]","[0,0.012]",ds.UDG.half,S12973.Y1.E1.L1, 0.2728 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
