AMS Laboratory,AMS Lab number,Individual ID,Site,Country / Region,Skeletal element used for genetic analysis,Skeletal element used for dating analysis,Process,fraction Modern,�,D14C (�),�,14C age (BP),�,?13C (�),?15N (�),%C,%N,C:N,lower bound of 95.4% confidence interval from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020) (CE/BCE),upper bound of 95.4% confidence interval from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020) (CE/BCE),mean in calibrated radiocarbon years BP (mu from from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)),standard deviation in calibrated radiocarbon years BP (sigma from from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)),,,,
PSU-UCIAMS,"UCIAMS-226550,PSUG-5465",I12976,"Bayan-Ulgii aimag, Ulaankhus sum, Kulala Ula barrow 2",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.6782,0.0016,-321.8,1.6,3120,20,-17.7,14.5,47.5,17.3,3.21,-1441,-1304,3332,41,,,,
PSU-UCIAMS,"UCIAMS-226528,PSUG-5431",I12960,"Uvurkhangai, Khujirt sum, Shunkhlai Uul, Tomb 2",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.6781,0.0016,-321.9,1.6,3120,20,-17.3,12.7,46.2,16.6,3.25,-1441,-1304,3332,41,,,,
PSU-UCIAMS,"UCIAMS-226561,PSUG-5475",I14037,"S�khbaatar aimag, Tuvshinshiree sum, Bulgiin ekh, Tomb 47",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.6803,0.0016,-319.7,1.6,3095,20,-16.4,13.6,47.9,17.1,3.26,-1422,-1292,3306,39,,,,
PSU-UCIAMS,"UCIAMS-226529,PSUG-5432",I12973,"Bulgan, Khutag undur sum, Marzyn Khutul tomb 1",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.6868,0.0017,-313.2,1.7,3020,25,-18.8,11.6,52,18.3,3.32,-1388,-1133,3226,56,,,,
PSU-UCIAMS,"UCIAMS-226533,PSUG-5436",I13766,"Bayankhongor aimag, Erdentsogt sum",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.6873,0.0017,-312.7,1.7,3010,25,-17,14.2,44.1,15.9,3.23,-1384,-1128,3208,57,,,,
PSU-UCIAMS,"UCIAMS-226534,PSUG-5437",I13767,"Bayankhongor aimag, Ulziit soum, Khar Sair am",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.6881,0.0017,-311.9,1.7,3005,20,-17.5,14.6,45.5,16.3,3.26,-1377,-1130,3198,49,,,,
PSU-UCIAMS,"UCIAMS-226549,PSUG-5464",I12975,"Khuvsgul aimag, Khankh sum, Khavtsal II Tomb 1 (Khirgisuur)",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.6928,0.0016,-307.2,1.6,2950,20,-17.9,11.9,46.2,16.8,3.22,-1255,-1055,3110,42,,,,
PSU-UCIAMS,"UCIAMS-226557,PSUG-5472",I13505,"Bayankongor aimag, Erdenetsogt sum",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.6993,0.0016,-300.7,1.6,2875,20,-17.9,11.7,49.3,17.6,3.27,-1124,-939,3001,42,,,,
PSU-UCIAMS,"UCIAMS-226545,PSUG-5460",I12969,"Khentii, Delgerkhaan sum, Khanan 3",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.6992,0.0015,-300.8,1.5,2875,20,-17.3,11,63.5,22.9,3.24,-1124,-939,3001,42,,,,
PSU-UCIAMS,"UCIAMS-226531,PSUG-5434",I13178,"Khentii, Bayan-Adraga sum, Shuusyn boom Tomb 6",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.7035,0.0017,-296.5,1.7,2825,20,-16.7,12.3,47.5,17.1,3.24,-1046,-914,2923,33,,,,
PSU-UCIAMS,"UCIAMS-226547,PSUG-5462",I12971,"Dornod aimag, Gurvanzagal sum, Khadan khuv Tomb 1",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.709,0.0016,-291,1.6,2765,20,-17.5,12.5,44.6,16.2,3.22,-981,-832,2849,40,,,,
PSU-UCIAMS,"UCIAMS-226562,PSUG-5476",I14194,"S�khbaatar aimag, Tuvshinshiree sum, Ulaanzukh, Tomb 32",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.7096,0.0016,-290.4,1.6,2755,20,-17.2,13.1,48.3,17.5,3.22,-971,-830,2834,35,,,,
PSU-UCIAMS,"UCIAMS-226556,PSUG-5471",I13504,"Khovsgol aimag, Ulaan-Uul sum",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.7454,0.0017,-254.6,1.7,2360,20,-18.8,12.5,59.8,21.5,3.25,-512,-389,2368,29,,,,
PSU-UCIAMS,"UCIAMS-226544,PSUG-5459",I12956,"Uvs aimag, Ulaangom sum, Chandman Uul, Ulaangom cemetery Grave 48 burial 4",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.7504,0.0017,-249.6,1.7,2305,20,-17.8,13.4,52.5,19.1,3.21,-405,-235,2326,37,,,,
PSU-UCIAMS,"UCIAMS-226546,PSUG-5461",I12970,"Uvs aimag, Ulaangom sum, Chandman Uul, Ulaangom cemetery Grave #48 burial 7",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.7529,0.0017,-247.1,1.7,2280,20,-17,15.4,48,17.4,3.22,-399,-231,2286,60,,,,
PSU-UCIAMS,"UCIAMS-226560,PSUG-5475",I13965,"Bayan-Ulgii aimag, Tsengel sum, Biluut 2 barrow 4",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.7537,0.0016,-246.3,1.6,2270,20,-17.9,13.1,48.5,17.5,3.24,-396,-210,2270,61,,,,
PSU-UCIAMS,"UCIAMS-226554,PSUG-5469",I13175,"Khovd, Bulgan sum, Uliastai deed denj II kurgan 1 burial 1 (secondary)",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.817,0.0017,-183,1.7,1625,20,-16.9,15,54,19.5,3.24,408,537,1483,41,,,,
PSU-UCIAMS,"UCIAMS-226555,PSUG-5470",I13176,"Khovd, Bulgan sum, Hudzhirtyn gol II, kurgan 1 burial 3 (secondary)",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.8706,0.002,-129.4,2,1115,20,-16.6,13.8,44.6,16,3.25,891,991,1011,32,,,,
PSU-UCIAMS,"UCIAMS-226548,PSUG-5463",I12974,"Khentii, Murun sum, Bus khairkhan Tomb 3",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.9106,0.0019,-89.4,1.9,750,20,-13.1,10.8,51.5,18.6,3.23,1229,1287,682,13,,,,
